,2,3,4,5,6,7,8,9,10
Iteration 1,0.8666666666666666,0.8666666666666666,0.9333333333333332,0.8999999999999998,0.8666666666666666,0.8333333333333333,0.8666666666666666,0.8333333333333333,0.8
Iteration 2,0.8333333333333333,0.8666666666666666,0.8666666666666666,0.9333333333333332,0.9333333333333332,0.8333333333333333,0.7666666666666667,0.7333333333333333,0.7666666666666667
Iteration 3,0.8,0.8333333333333333,0.8666666666666666,0.8333333333333333,0.8666666666666666,0.8666666666666666,0.8666666666666668,0.8333333333333333,0.8666666666666666
Iteration 4,0.8666666666666666,0.9333333333333332,0.9333333333333332,0.9,0.8666666666666666,0.8666666666666666,0.9333333333333332,0.9333333333333332,0.8999999999999998
Iteration 5,0.8999999999999998,0.8666666666666666,0.9,0.9666666666666666,0.8333333333333333,0.8999999999999998,0.9,0.9,0.9
Iteration 6,0.9,0.9,0.9,0.9,0.8666666666666666,0.8666666666666668,0.8666666666666666,0.8666666666666668,0.8999999999999998
Iteration 7,0.9666666666666666,0.9333333333333332,0.8999999999999998,0.8999999999999998,0.9,0.8999999999999998,0.9,0.8666666666666666,0.8666666666666666
Iteration 8,0.8333333333333333,0.9,0.8,0.8333333333333333,0.8,0.8666666666666668,0.8,0.7666666666666666,0.8
Iteration 9,0.8,0.8666666666666666,0.8666666666666668,0.9,0.9333333333333332,0.8666666666666666,0.8666666666666666,0.8666666666666666,0.8333333333333334
Iteration 10,0.9333333333333332,0.8666666666666666,0.8666666666666666,0.8666666666666666,0.8666666666666666,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.7
Global Avg.,0.8699999999999999,0.8833333333333334,0.8833333333333334,0.8933333333333332,0.8733333333333333,0.8633333333333333,0.86,0.8433333333333332,0.8333333333333333
